Department,Division,Category,Activity,Keywords,Fee Name/Description,Fee,Fee  -  Other,Unit,Additional Fee ,Additional Fee Unit,Deposit,Rate Tier,Comments,External Link(s),Notes
Planning and Community Development,Code Compliance,Permits,,"Tenant, Protection, Construction",Tenant Protection During Construction,253.64,,,,,,,,,
Planning and Community Development,Building and Safety,Plan Checks,,"Miscellaneous, Misc, Excessive","Miscellaneous Plan Check Fees, Excessive Plan Check-each review after three",254.4,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Miscellaneous, Misc, Reinspection, Combination, Combo, Building","Miscellaneous Inspections, Reinspection Fee: Combination Building Permit",224.32,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Replacement, Other",Replacement Card: Replacement I All Others,19.26,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Specialty classes,"adult workout, aerobics, adult swim class, swimming training, water exercise, fitness","Community Aquatics
 - Fitness Classes: Shallow or Deep Water Wet Workout/Aqua Aerobics and Fitness Classes
 - Adult Fitness Class Pass
 - Residents",48,,,,,,Residents-Adult,"
Passes are good for 10 classes, and are non - refundable, non - transferable and non - interchangeable.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Public Works,Water,Services,,"Water, Account, Delinquent, Reestablish",Reestablish Delinquent Account (per acct),54.58,,,,,,,,,
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Filming, Memorial Park","Facility Filming Rental - Motion, Memorial Park, CAB Full",517,,Daily,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Adult Sports,"Men's Softball Leagues, Recreational Leagues, Softball","Adult Sports League
 - Softball - Men's
 - Residents/SM Workers",485,,,,,,Residents/SM Workers - Men,Residents/SM Workers (Registration Priority 2)  At least 60% of players must live or work in Santa Monica. A fee will be assessed to cover costs for supplies and a portion of administrative expenses.  Officiating fees are additional and paid directly to officials.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Electrical, Plan, Review, Preliminary, Prelim","Electrical Plan Review, Preliminary Review",445.86,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Filming, Virginia Avenue Park, VAP, Senior Recreation Center","Facility Filming Rental - Non-Profit/Student Motion/Still, Virginia Avenue Park, Auditorium",77.55,,Daily,,,,NP /Student /Educational ,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Planning and Community Development,City Planning/Development Review,Final Inspections ,,Planning Final Inspection of projects with Discretionary Entitlements ,"Planning Final Inspection, Discretionary Permits",1158.27,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Business License,,Full review of Home Occupation Business License application,Business License Planning Review:  Home Occupation,135.92,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,Code Compliance,Permits,,"Noise, Ordinance, After, Hours",Noise Ordinance - After Hours Permit,859.36,,,,,,,,,
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"pool rental, lane rental, swim team rental, rental, rent pool","Santa Monica Swim Center - Rental Charges, Non-Profit Adult Aquatics Program and Private Schools, Non SM Based/2,000 hours annually, Short Course ",13,,per lane per hour,,,,,This fee is not subject to the annual administrative revision and increase per resolution.  ,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/swim-center-fee-notes"">Swim Center fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Beach soccer, beach volleyball, beach sports, beach, pier, outdoor sports","Facility Filming Rental - Still, SM State Beach, Beach Soccer & Volleyball Courts",258,,Daily,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Planning and Community Development,Transportation Planning and Engineering,Fees,,"traffic control, construction, temporary, signs","Traffic Control Plan Review - Base Fee: First two reviews, per page",241.86,,,,,,,,,
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Adult Sports,"Coed Volleyball Leagues, Recreational Leagues, Volleyball, Coed Sports","Adult Sports League
 - Volleyball
 - Residents",240,,,,,,Residents,Resident Teams (Registration Priority 1)  At least 60% of players must live in Santa Monica.  A fee will be assessed to cover costs for supplies and a portion of administrative expenses.  Officiating fees are additional and paid directly to officials.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Swim pass,"daily entry, day swim, day pass, entrance fee, family swim ","Community Aquatics
 - Recreational and Fitness Swim
 - Family Use
 - Non-Residents Family",16,,per day,,,,Non-Residents-Family,"Family (up to 2 adults and 2 children, additional children admitted at swim center rate) Available Friday night, Saturday and Sunday.
  ",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Swim pass,"daily entry, day swim, day pass, entrance fee, monthly pass",Community Aquatics - Recreational and Fitness - Swim Pass - Non-Residents - Youth ,40,,20 swims per pass,,,,Non-Residents-Youth,"Youth (17 years and under)
 ",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Planning and Community Development,Transportation Engineering and Management,Fees,,"Taxicab Driver, Driver Permit, Application",New and renewal taxicab drivers permit application fee,208.69,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/taxi-vehicle-fee-notes"">Taxi vehicle fee notes</a>"
Planning and Community Development,Transportation Engineering and Management,Fees,,"Taxicab Driver, Driver Permit, Application",New and renewal taxicab drivers permit application fee,208.69,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/taxi-vehicle-fee-notes"">Taxi vehicle fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Miscellaneous, Misc, Demolition, Demo","Miscellaneous Plan Check Fees, Demolition",170.29,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,City Planning/Development Review,Business License,,Full review of Business License application,Business License Planning Review,368.52,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Filming, 1450 Ocean, Senior Recreation Center","Facility Filming Rental - Motion, Senior Rec. Cntr, Patio",361,,Daily,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Planning and Community Development,City Planning/Development Review,Applications ,,Conceptual project approvals for submission to the Coastal Commission,Coastal Approval in Concept,149,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Community and Cultural Services,Community Recreation,Arts and Enrichment,,"Theater rentals, theatre rentals, rehearsal space, filming, Miles, Miles Playhouse","Miles Playhouse Fees
 - Children & Adults
 - Ages 14 and up",10,,,,,,,Fees will be charged for admission to in-house productions presented at Miles Playhouse.  For Collaborative/Partnership Programming  An admission fee will be assessed to cover a portion of administrative expenses and divided between the City and the collaborative/partnering agency based upon mutual agreement.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Combination, Building, Combo, Commercial/Industrial, Commercial, Industrial, Complete, Building","Combination Building Permits, Commercial/Industrial - complete building and attached parking: Additional 10,000 square feet",123.9,,,0.7953,per square footage,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Meeting room, Facility, Reservation, Swimming, Filming, Still photography","Santa Monica Swim Center - Rental Charges, Filming Fees, Motion, Deck Only Rate",250,,per hour,,,,,This fee is not subject to the annual administrative revision and increase per resolution.  ,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/swim-center-fee-notes"">Swim Center fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Filming, Still Photography, Reed Park","Facility Filming Rental - Non-Profit/Student Motion/Still, Reed Park, Aud. East or Aud. West",51.7,,Daily,,,,NP /Student /Educational ,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Mechanical, Plan, Review, Over the Counter, Counter, OTC, Excessive","Mechanical Plan Review, Over The Counter PC: Excessive Plan Check-each review after two",243.98,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Code Compliance,Permits,,"Residential, Building, Report, RBR, Code, Compliance, Enforcement, Review",Residential Building Report - Code Compliance Review,253.64,,,,,,,,,
Planning and Community Development,Building and Safety,Plan Checks,,"Engineering, Report, Review, Geotechnical, Commercial, Mixed Use, Apartments, Apts","Engineering Report Review: Geotechnical Reports, Commercial/Mixed Use/ Apts (over 4 stories including subterranean garage)",2655.14,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Transportation Planning and Engineering,Fees,,"traffic control, construction, temporary, signs","Traffic Control Plan Review - Base Fee: Third and subsequent reviews, per page",307.14,,,,,,,,,
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Reed Park, Lincoln Park, Joslyn Hall, Non-Profit","Park Building Rental - SM Based Non-Profit Orgs., Community Mtg. Rm, Reed Park, Small  (30 - 40)",13,,,,,,Santa Monica based non-profit organizations: Must have at least 50% Santa Monica residents.,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Permits,"Reservations, Field Rental, Sports Field Rental, rental fees for camps, Sports field rental for camps, baseball field, softball field, sports fields, Marine Park, Clover Park, Memorial Park, Los Amigos Park, John Adams Middle School, Lincoln Middle School, Airport Park, Santa Monica High School","Sports Facilities Rental - Field Rental, Residents, Camps, Low Intensity (baseball, softball, kick-ball, frisbee)",26,,,,,,Residents,"Staffing fees shall be subject to the annual administrative increase per resolution.
This fee is not subject to the annual administrative revision and increase per resolution.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/sports-facilities-rental-fee-notes"">Sports facilities rental fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Mechanical, Plan, Review, Preliminary, Prelim","Mechanical Plan Review, Preliminary Review",445.86,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Refunds, Formal, Plan, Check, Second, Review, Started, Completion",Refunds: Formal Plan Check: Second Review Started/Up to Completion of Second Review,,no refunds,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,City Planning/Development Review,Modification,,Modification to any element of the City's General Plan,General Plan Amendment,13553,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Youth/Adult Skate/Bike,"Adult Skate Boarding, The Cove, Skate Board, BMX","Skate Park, One-Time Registration
 - Non-Residents, Adult",16.5,,,,,,Non-Residents - Adult,A fee will be assessed to cover supplies and a portion of administrative expenses.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community and Cultural Services,Aquatics/Swimming,Permits,"Meeting Room, Facility, Reservations, Non-Profit, Auditorium, Multi-purpose room, Center, Ken Edwards Center, KEC, Community Center, Community Room, Room 103, Room 104, Room 105, Senior Services","Ken Edwards Center Rental, Non-Profit/Sr. Services, Room 103 or 104 or 105 (18'X26'), 40 chairs, 24 chairs/4 tables or 30 chairs/5 tables",19.5,,,,,,Non-Profit Sr Services,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/ken-edwards-center-fee-notes"">Ken Edwards Center fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Extension, Extend, Time, Resume, Complete, Construction, Single, Trade, STP",Extension Fees: Extension of Time To Resume or Complete Construction - Single Trade Residential,191.56,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
