Department,Division,Category,Activity,Keywords,Fee Name/Description,Fee,Fee  -  Other,Unit,Additional Fee,Additional Fee Unit,Deposit,Rate Tier,Comments,External Link(s),Notes
Community and Cultural Services,Cultural Affairs,Parking,,"Parking, Beach, Beach House, Annenberg Beach House, Beach Parking, parking reservation",Annenberg Community Beach House Parking,12.00,,per day,,,,,"Parking ranges from $8-12, depending on season.
This fee is not subject to the annual administrative revision and increase per resolution.","Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs,Parking,,"Parking, Beach, Beach House, Annenberg Beach House, Beach Parking, parking reservation",Annenberg Community Beach House Parking,3.00,,per hour,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations",Annenberg Community Beach House: Pool Passes - Summer & Pop-Up Pool Days - Adult,10.00,,per day,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations",Annenberg Community Beach House: Pool Passes - Summer & Pop-Up Pool Days - Senior (60+),5.00,,per day,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations",Annenberg Community Beach House: Pool Passes - Summer & Pop-Up Pool Days - Youth (1-17),4.00,,per day,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations",Annenberg Community Beach House: Pool Passes - Summer & Pop-Up Pool Days - Children Under 12 Months,,Free,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations","Annenberg Community Beach House: Pool Passes, Half-Price Mondays (non-holiday Mondays in the summer) - Adult",5.00,,per day,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations","Annenberg Community Beach House: Pool Passes, Half-Price Mondays (non-holiday Mondays in the summer) - Senior (60+)",2.50,,per day,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations","Annenberg Community Beach House: Pool Passes, Half-Price Mondays (non-holiday Mondays in the summer) -Youth (1-17)",2.00,,per day,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations","Annenberg Community Beach House: Pool Passes, Half-Price Mondays (non-holiday Mondays in the summer) - Children Under 12 Months",,Free,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
