,B01003_001E,state,county,tract
0,3006,06,037,199700
1,3618,06,037,199801
2,2419,06,037,199802
3,2687,06,037,199900
4,2203,06,037,201110
5,4043,06,037,201120
6,2709,06,037,201200
7,4377,06,037,201301
8,4247,06,037,201302
9,4568,06,037,201401
10,4800,06,037,201402
11,5560,06,037,201501
12,3330,06,037,201503
13,2151,06,037,201504
14,2445,06,037,201601
15,2971,06,037,201602
16,5194,06,037,201700
17,4615,06,037,203100
18,5631,06,037,203200
19,1899,06,037,203300
20,3153,06,037,203500
21,2943,06,037,203601
22,1873,06,037,203602
23,3636,06,037,203710
24,4014,06,037,203720
25,4803,06,037,203800
26,3206,06,037,203900
27,3493,06,037,204110
28,2925,06,037,204120
29,3621,06,037,204200
30,5714,06,037,204300
31,2791,06,037,204410
32,2951,06,037,204420
33,4271,06,037,204600
34,5660,06,037,204700
35,4922,06,037,204810
36,2141,06,037,204820
37,3494,06,037,204910
38,2796,06,037,204920
39,3697,06,037,205110
40,3754,06,037,205120
41,3966,06,037,206010
42,9476,06,037,206020
43,2192,06,037,206050
44,3388,06,037,402705
45,3562,06,037,402706
46,4837,06,037,402801
47,3415,06,037,402803
48,4280,06,037,402804
49,7336,06,037,402902
50,3912,06,037,402903
51,3644,06,037,402904
52,7003,06,037,403000
53,2285,06,037,403305
54,7183,06,037,403316
55,5272,06,037,403317
56,5938,06,037,403318
57,4355,06,037,403319
58,5040,06,037,403320
59,5715,06,037,403321
60,5540,06,037,403323
61,7357,06,037,403324
62,5214,06,037,403325
63,2426,06,037,403326
64,2304,06,037,403327
65,5630,06,037,403328
66,5092,06,037,403401
67,3561,06,037,403402
68,5165,06,037,403403
69,2443,06,037,403404
70,2327,06,037,403407
71,6702,06,037,403408
72,4474,06,037,403409
73,1550,06,037,403500
74,7283,06,037,403601
75,3943,06,037,403702
76,4485,06,037,403703
77,4983,06,037,403721
78,5144,06,037,403722
79,5948,06,037,403801
80,6813,06,037,403802
81,2935,06,037,403901
82,5274,06,037,403902
83,4413,06,037,404000
84,6087,06,037,404100
85,3249,06,037,404201
86,4370,06,037,404203
87,4074,06,037,554600
88,4112,06,037,554700
89,2964,06,037,554801
90,6201,06,037,554802
91,7291,06,037,554900
92,5215,06,037,555001
93,3705,06,037,555002
94,5667,06,037,555105
95,2903,06,037,555106
96,5990,06,037,555107
97,3965,06,037,555202
98,5835,06,037,555211
99,5474,06,037,555212
100,5195,06,037,555300
101,5017,06,037,570001
102,2501,06,037,570002
103,4011,06,037,570003
104,2982,06,037,570100
105,6214,06,037,570202
106,4069,06,037,570203
107,4511,06,037,570204
108,4552,06,037,570303
109,4899,06,037,570304
110,4060,06,037,570305
111,2906,06,037,570306
112,3376,06,037,570402
113,4196,06,037,570403
114,3980,06,037,570404
115,6027,06,037,570502
116,4624,06,037,570503
117,3838,06,037,570504
118,5925,06,037,570601
119,5692,06,037,570602
120,4964,06,037,570603
121,7545,06,037,570701
122,2826,06,037,570703
123,5364,06,037,570800
124,5104,06,037,554522
125,5684,06,037,570901
126,3395,06,037,570902
127,5437,06,037,571000
128,4922,06,037,571101
129,3450,06,037,571102
130,1405,06,037,206051
131,2841,06,037,206052
132,3014,06,037,206053
133,2589,06,037,206054
134,2154,06,037,206201
135,1724,06,037,206202
136,1867,06,037,206301
137,2400,06,037,206302
138,1989,06,037,206303
139,3906,06,037,207101
140,3181,06,037,207102
141,2144,06,037,207103
142,2187,06,037,207303
143,2022,06,037,207304
144,961,06,037,207305
145,1863,06,037,207306
146,1424,06,037,207307
147,1323,06,037,207308
148,1596,06,037,207400
149,2133,06,037,207501
150,3072,06,037,207502
151,1661,06,037,207711
152,3469,06,037,207712
153,2582,06,037,207901
154,5746,06,037,207902
155,2410,06,037,208001
156,4920,06,037,208002
157,2101,06,037,208301
158,5265,06,037,208302
159,4619,06,037,208401
160,2983,06,037,208402
161,2462,06,037,208501
162,4360,06,037,208502
163,4388,06,037,208610
164,4303,06,037,208620
165,5136,06,037,208710
166,3746,06,037,208720
167,3284,06,037,208801
168,3049,06,037,208802
169,2566,06,037,208902
170,3878,06,037,208903
171,4190,06,037,208904
172,3595,06,037,209103
173,5454,06,037,404301
174,2221,06,037,404302
175,3969,06,037,404401
176,5115,06,037,404402
177,2791,06,037,404501
178,2763,06,037,404503
179,4934,06,037,404504
180,1365,06,037,404600
181,5939,06,037,404701
182,5424,06,037,404702
183,3225,06,037,404703
184,4704,06,037,404804
185,3074,06,037,404805
186,6337,06,037,404806
187,6143,06,037,404901
188,3933,06,037,404902
189,2344,06,037,404903
190,5849,06,037,405001
191,3488,06,037,405002
192,5843,06,037,405101
193,5204,06,037,405102
194,5146,06,037,405201
195,4908,06,037,405202
196,3098,06,037,405203
197,3097,06,037,405301
198,5522,06,037,405302
199,4988,06,037,405400
200,6475,06,037,405500
201,5335,06,037,405600
202,4080,06,037,405701
203,4966,06,037,405702
204,5840,06,037,405800
205,3869,06,037,405900
206,5565,06,037,406000
207,2905,06,037,406101
208,7912,06,037,406103
209,3740,06,037,406201
210,5964,06,037,406300
211,6250,06,037,406413
212,6512,06,037,406500
213,5375,06,037,406601
214,4887,06,037,406602
215,3259,06,037,406701
216,3884,06,037,571201
217,4028,06,037,571202
218,4258,06,037,571300
219,4761,06,037,571400
220,4779,06,037,571502
221,4901,06,037,571504
222,3034,06,037,571505
223,2314,06,037,571600
224,6647,06,037,571701
225,3367,06,037,571703
226,4026,06,037,571704
227,3176,06,037,571800
228,5403,06,037,571900
229,6201,06,037,572001
230,6038,06,037,572201
231,3297,06,037,572202
232,3764,06,037,572301
233,3973,06,037,572500
234,5058,06,037,572600
235,4850,06,037,572700
236,3721,06,037,573002
237,1788,06,037,573003
238,4866,06,037,573004
239,4741,06,037,573101
240,2785,06,037,573102
241,4339,06,037,573201
242,6348,06,037,573202
243,4112,06,037,573300
244,1458,06,037,573401
245,6778,06,037,573402
246,3194,06,037,573403
247,6522,06,037,573601
248,5091,06,037,573700
249,4335,06,037,573800
250,1981,06,037,573902
251,5086,06,037,574000
252,5058,06,037,574100
253,3001,06,037,574201
254,2400,06,037,574202
255,5942,06,037,574300
256,5509,06,037,574400
257,6625,06,037,574500
258,1273,06,037,574602
259,3069,06,037,574800
260,2442,06,037,209104
261,3829,06,037,209105
262,2277,06,037,209106
263,3021,06,037,209201
264,1604,06,037,209202
265,5090,06,037,209300
266,4018,06,037,209401
267,4132,06,037,209402
268,4678,06,037,209403
269,3054,06,037,209510
270,2874,06,037,209520
271,2640,06,037,209810
272,2833,06,037,209820
273,3345,06,037,210010
274,5073,06,037,211000
275,2243,06,037,211121
276,3024,06,037,211122
277,1478,06,037,211123
278,4806,06,037,211124
279,2759,06,037,211201
280,2217,06,037,211202
281,3840,06,037,211310
282,3288,06,037,211320
283,3103,06,037,211410
284,3255,06,037,211420
285,4147,06,037,211500
286,2566,06,037,211701
287,4560,06,037,211703
288,2832,06,037,211704
289,4320,06,037,211802
290,3874,06,037,211803
291,3110,06,037,211804
292,4287,06,037,211910
293,2353,06,037,211921
294,3464,06,037,211922
295,2717,06,037,212101
296,2691,06,037,212102
297,3404,06,037,212202
298,2889,06,037,212203
299,3194,06,037,212204
300,4174,06,037,212303
301,1689,06,037,212304
302,3079,06,037,212305
303,6259,06,037,406702
304,5023,06,037,406801
305,8251,06,037,406903
306,5974,06,037,407001
307,3475,06,037,407002
308,4973,06,037,407101
309,5697,06,037,407102
310,3742,06,037,407201
311,3526,06,037,407202
312,4671,06,037,407301
313,3682,06,037,407302
314,2002,06,037,407400
315,4413,06,037,407501
316,3890,06,037,407502
317,4303,06,037,407601
318,4451,06,037,407602
319,4051,06,037,407701
320,6940,06,037,407702
321,5704,06,037,407801
322,3273,06,037,407802
323,3992,06,037,407901
324,1588,06,037,407902
325,4415,06,037,408003
326,2521,06,037,408004
327,5377,06,037,408005
328,3240,06,037,408006
329,5622,06,037,408133
330,2746,06,037,408134
331,4617,06,037,408135
332,3590,06,037,408136
333,4134,06,037,408137
334,5020,06,037,408138
335,4689,06,037,408139
336,3973,06,037,408140
337,4626,06,037,408141
338,4985,06,037,408212
339,6154,06,037,408213
340,6319,06,037,408301
341,3528,06,037,408302
342,4764,06,037,408303
343,4595,06,037,408401
344,6669,06,037,408402
345,6626,06,037,408503
346,3897,06,037,574901
347,5481,06,037,574902
348,4283,06,037,575001
349,4583,06,037,575002
350,4231,06,037,575101
351,4066,06,037,575102
352,5131,06,037,575103
353,4745,06,037,575201
354,3796,06,037,575202
355,4382,06,037,575300
356,4602,06,037,575401
357,3935,06,037,575402
358,2240,06,037,575801
359,5499,06,037,575802
360,3205,06,037,575803
361,3695,06,037,575901
362,5411,06,037,575902
363,5416,06,037,576001
364,5079,06,037,576200
365,4409,06,037,576301
366,3526,06,037,576302
367,5172,06,037,576401
368,4805,06,037,576402
369,5043,06,037,576403
370,2986,06,037,576501
371,5176,06,037,576502
372,3941,06,037,576503
373,3758,06,037,576601
374,4781,06,037,576602
375,4015,06,037,576700
376,3699,06,037,576801
377,3938,06,037,576802
378,4992,06,037,576901
379,3327,06,037,576903
380,3050,06,037,576904
381,7064,06,037,577000
382,6966,06,037,577100
383,5758,06,037,577200
384,5594,06,037,577300
385,2771,06,037,577400
386,3398,06,037,577501
387,1420,06,037,577504
388,3016,06,037,577602
389,3923,06,037,101110
390,4119,06,037,101122
391,3775,06,037,101220
392,3787,06,037,101221
393,2717,06,037,101222
394,3741,06,037,101300
395,3246,06,037,101400
396,1920,06,037,102103
397,4187,06,037,102104
398,1797,06,037,102105
399,4082,06,037,102107
400,2484,06,037,103101
401,4716,06,037,103102
402,3961,06,037,103201
403,2569,06,037,103202
404,3726,06,037,103300
405,2596,06,037,103401
406,3795,06,037,103402
407,3969,06,037,104103
408,5711,06,037,104105
409,5551,06,037,104108
410,3310,06,037,212306
411,4345,06,037,212410
412,3163,06,037,212420
413,1996,06,037,212501
414,2657,06,037,212502
415,4740,06,037,212610
416,4120,06,037,212620
417,2281,06,037,212701
418,3630,06,037,212702
419,3370,06,037,212800
420,4102,06,037,212900
421,3089,06,037,213100
422,4277,06,037,213201
423,3863,06,037,213202
424,2731,06,037,213310
425,2638,06,037,213320
426,4820,06,037,213401
427,5002,06,037,213402
428,3882,06,037,214000
429,3532,06,037,214100
430,3126,06,037,214400
431,3444,06,037,214501
432,3334,06,037,214503
433,3898,06,037,214504
434,1307,06,037,214505
435,2358,06,037,214600
436,2376,06,037,214700
437,2839,06,037,214800
438,2578,06,037,214902
439,1657,06,037,214903
440,1452,06,037,214904
441,2985,06,037,215101
442,3040,06,037,215102
443,2086,06,037,216100
444,2578,06,037,216201
445,2757,06,037,216202
446,1575,06,037,216301
447,2989,06,037,216302
448,3786,06,037,216401
449,2443,06,037,216402
450,3493,06,037,216700
451,3110,06,037,216800
452,2586,06,037,216901
453,5556,06,037,408504
454,2526,06,037,408505
455,3224,06,037,408623
456,3229,06,037,408624
457,3841,06,037,408625
458,3981,06,037,408626
459,2864,06,037,408627
460,5358,06,037,408628
461,2839,06,037,408629
462,5084,06,037,408631
463,6125,06,037,408703
464,5928,06,037,408705
465,6610,06,037,408707
466,4470,06,037,408722
467,5396,06,037,408724
468,6449,06,037,408725
469,4570,06,037,408800
470,6021,06,037,408900
471,7550,06,037,409000
472,5403,06,037,409100
473,5183,06,037,430003
474,2633,06,037,430004
475,3683,06,037,430005
476,5132,06,037,430101
477,4768,06,037,430102
478,1045,06,037,430200
479,4665,06,037,430301
480,5281,06,037,430302
481,4643,06,037,430400
482,4286,06,037,430501
483,6543,06,037,430502
484,4748,06,037,430600
485,5671,06,037,430701
486,3745,06,037,430721
487,4841,06,037,430723
488,4565,06,037,430724
489,6691,06,037,430801
490,4346,06,037,430802
491,5393,06,037,430803
492,4377,06,037,430901
493,4725,06,037,430902
494,2827,06,037,431002
495,4707,06,037,431003
496,4301,06,037,577605
497,4067,06,037,577606
498,4516,06,037,577700
499,4659,06,037,577800
500,5754,06,037,577900
501,6380,06,037,578000
502,2371,06,037,578100
503,3696,06,037,599000
504,710,06,037,599100
505,7419,06,037,600100
506,4720,06,037,600201
507,7857,06,037,600202
508,3074,06,037,600302
509,4038,06,037,600303
510,4010,06,037,600304
511,4070,06,037,600400
512,2767,06,037,600501
513,2456,06,037,600601
514,2795,06,037,600602
515,4703,06,037,600702
516,1709,06,037,600703
517,3254,06,037,600704
518,3204,06,037,600801
519,2586,06,037,600802
520,6352,06,037,600902
521,3577,06,037,600911
522,5038,06,037,600912
523,2554,06,037,601001
524,5093,06,037,601002
525,7123,06,037,601100
526,4191,06,037,601202
527,3086,06,037,601211
528,6508,06,037,601212
529,1728,06,037,601301
530,6934,06,037,601302
531,5363,06,037,601303
532,6354,06,037,601401
533,1632,06,037,577604
534,4803,06,037,601402
535,3847,06,037,601501
536,4134,06,037,601502
537,4347,06,037,601600
538,5324,06,037,601700
539,3843,06,037,104124
540,4718,06,037,104201
541,5420,06,037,104203
542,3684,06,037,104204
543,4961,06,037,104310
544,3128,06,037,104321
545,2005,06,037,104322
546,3134,06,037,104401
547,2723,06,037,104403
548,3592,06,037,104404
549,2866,06,037,104500
550,3473,06,037,104610
551,3559,06,037,104620
552,3957,06,037,104701
553,2410,06,037,104703
554,4525,06,037,104704
555,3268,06,037,104821
556,2566,06,037,104822
557,3526,06,037,104823
558,2639,06,037,104824
559,3444,06,037,106010
560,5154,06,037,106020
561,4428,06,037,106111
562,5214,06,037,106112
563,3712,06,037,106113
564,6575,06,037,106114
565,3486,06,037,106403
566,4404,06,037,106405
567,6288,06,037,106406
568,2618,06,037,106407
569,3822,06,037,106408
570,6133,06,037,106510
571,5710,06,037,106520
572,3658,06,037,106603
573,4572,06,037,106604
574,2271,06,037,106641
575,3294,06,037,106642
576,4511,06,037,106643
577,4158,06,037,106645
578,3028,06,037,106646
579,4264,06,037,106648
580,2916,06,037,106649
581,3243,06,037,107010
582,2275,06,037,216902
583,3032,06,037,217001
584,4611,06,037,217002
585,2964,06,037,217101
586,2658,06,037,217102
587,4105,06,037,217200
588,3532,06,037,218110
589,4244,06,037,218120
590,3621,06,037,218210
591,3877,06,037,218220
592,5281,06,037,218300
593,4699,06,037,218400
594,2655,06,037,218500
595,3081,06,037,218600
596,2157,06,037,218701
597,2232,06,037,218702
598,2619,06,037,218800
599,5757,06,037,218900
600,3318,06,037,219010
601,5298,06,037,219020
602,3906,06,037,219300
603,2098,06,037,219500
604,4724,06,037,219700
605,2915,06,037,219800
606,4724,06,037,219901
607,3177,06,037,219902
608,4784,06,037,220000
609,2487,06,037,220100
610,3668,06,037,221110
611,3129,06,037,221120
612,3331,06,037,221210
613,3227,06,037,221220
614,4204,06,037,221302
615,2697,06,037,221303
616,3912,06,037,221304
617,3422,06,037,221401
618,3188,06,037,221402
619,3688,06,037,221500
620,3226,06,037,221601
621,2711,06,037,221602
622,2890,06,037,221710
623,2782,06,037,221810
624,2424,06,037,221820
625,4200,06,037,221900
626,3444,06,037,431004
627,6992,06,037,431100
628,6351,06,037,431200
629,2700,06,037,431300
630,4098,06,037,431400
631,4046,06,037,431501
632,4138,06,037,431502
633,4348,06,037,431600
634,6094,06,037,431701
635,5349,06,037,431800
636,3841,06,037,431900
637,2462,06,037,432001
638,4967,06,037,432002
639,4204,06,037,432101
640,5934,06,037,432102
641,5448,06,037,432201
642,4185,06,037,432202
643,4063,06,037,432300
644,3970,06,037,432401
645,6579,06,037,432402
646,4835,06,037,432501
647,3969,06,037,432502
648,7280,06,037,432601
649,4535,06,037,432602
650,6158,06,037,432700
651,2515,06,037,432801
652,5356,06,037,432802
653,4061,06,037,432901
654,3210,06,037,432902
655,7231,06,037,433103
656,6092,06,037,433200
657,1711,06,037,433302
658,4691,06,037,433304
